#Number;initial x;initial y;initial direction;sand color;sand symbol;ice color;ice symbol;space color;space symbol;wall color;wall symbol;lava color;lava symbol;forward;backward;left;right;goto;nop;objective color;objective symbol;keys color;keys symbol;minimum target;perfect target
1;6;7;right;;;;;;;;;;;1;-1;-1;-1;-1;-1;Yellow;;;;4;4
2;6;7;up;;;;;;;;;;;1;-1;0;2;-1;-1;Yellow;;;;6;5
3;4;5;up;;;;;;;;;;;1;1;1;1;-1;-1;Yellow;R;;;7;5
4;10;3;down;;;;;;;Pink;;;;1;1;1;1;-1;-1;Red;C;;;11;10
5;3;7;left;;;;;;;Orange;;;;1;1;2;1;-1;-1;Red;T;;;18;17
5;3;7;left;;;;;;;Orange;;;;2;1;2;1;-1;-1;Red;T;;;21;19
6;11;2;left;;;;;;;;;;S;1;0;1;1;-1;-1;Purple;R;;;12;5
7;9;9;left;;;;;;;Red;;;;1;1;1;1;3;-1;Yellow;;;;9;4
;8;4;down;;;;;;;Orange;;Pink;;2;1;1;1;4;-1;Purple;S;;;17;17
;11;6;down;;;;;;;;S;Cyan;;;;;;;;;;;;;
